topic,subtopic1,subtopic2,raw_ex_info,composer,raw_ex_title,raw_ex_mm,larger_work,generic_title,piece_title,catalog_no,movement,measure_start,measure_end,mp3,pdf
Scales,Major scales,Ascending Major Scales,"Ernst, Polyphonic Etude no. 6 for Solo Violin, Finale, mm. 13-17",Ernst,"Polyphonic Etude no. 6 for Solo Violin, Finale",mm. 13-17,,,,,,,,/musictheoryexamples/examples//ScQ1.mp3,/musictheoryexamples/examples//ScQ1.pdf
Scales,Major scales,Ascending Major Scales,"Haydn, Piano Sonata in A Major, Hob. XVI:5, mvt. 1, mm. 1-4",Haydn,"Piano Sonata in A Major, Hob. XVI:5, mvt. 1",mm. 1-4,,,,Hob. XVI:5,mvt. 1,,,/musictheoryexamples/examples//ScR1.mp3,/musictheoryexamples/examples//ScR1.pdf
Scales,Major scales,Ascending Major Scales,"Haydn, Piano Sonata in B-flat Major, Hob. XVI:2, mvt. 2, mm. 5-11",Haydn,"Piano Sonata in B-flat Major, Hob. XVI:2, mvt. 2",mm. 5-11,,,,Hob. XVI:2,mvt. 2,,,/musictheoryexamples/examples//ScS1.mp3,/musictheoryexamples/examples//ScS1.pdf
Scales,Major scales,Ascending Major Scales,"J. S. Bach, Keyboard Partita no. 1 in B-flat Major, BWV 825, Menuet I, mm. 1-9",J. S. Bach,"Keyboard Partita no. 1 in B-flat Major, BWV 825, Menuet I",mm. 1-9,,,,BWV 825,,,,/musictheoryexamples/examples//ScT1.mp3,/musictheoryexamples/examples//ScT1.pdf
Scales,Major scales,Ascending Major Scales,"Mozart, Violin Sonata in E-flat Major, K. 380, mvt. 1, mm. 59-67",Mozart,"Violin Sonata in E-flat Major, K. 380, mvt. 1",mm. 59-67,,,,K. 380,mvt. 1,,,/musictheoryexamples/examples//ScU1.mp3,/musictheoryexamples/examples//ScU1.pdf
Scales,Major scales,Ascending Major Scales,"Haydn, String Quartet in B-flat Major, op. 55 no. 3, mvt. 1, mm. 9-19",Haydn,"String Quartet in B-flat Major, op. 55 no. 3, mvt. 1",mm. 9-19,,,,op. 55,mvt. 1,,,/musictheoryexamples/examples//ScV1.mp3,/musictheoryexamples/examples//ScV1.pdf
Scales,Major scales,Ascending Major Scales,"Chopin, Mazurka in B-flat Major, op. 7 no. 1, mm. 1-4",Chopin,"Mazurka in B-flat Major, op. 7 no. 1",mm. 1-4,,,,op. 7,,,,/musictheoryexamples/examples//ScW1.mp3,/musictheoryexamples/examples//ScW1.pdf
Scales,Major scales,Ascending Major Scales,"Raff, Violin Concerto no. 1 in b minor, op. 161, mvt. 3, mm. 25-30",Raff,"Violin Concerto no. 1 in b minor, op. 161, mvt. 3",mm. 25-30,,,,op. 161,mvt. 3,,,/musictheoryexamples/examples//ScX1.mp3,/musictheoryexamples/examples//ScX1.pdf
Scales,Major scales,Ascending Major Scales,"Paganini, Violin Concerto no. 3 in E Major, mvt. 1, mm. 129-136",Paganini,"Violin Concerto no. 3 in E Major, mvt. 1",mm. 129-136,,,,,mvt. 1,,,/musictheoryexamples/examples//ScY1.mp3,/musictheoryexamples/examples//ScY1.pdf
Scales,Major scales,Descending Major Scales,"J. S. Bach, Chorale no. 348 (""Meinen Jesum lass ich nicht""), mm. 10-13",J. S. Bach,"Chorale no. 348 (""Meinen Jesum lass ich nicht"")",mm. 10-13,,,Meinen Jesum lass ich nicht,,,,,/musictheoryexamples/examples//ScZ1.mp3,/musictheoryexamples/examples//ScZ1.pdf
Scales,Major scales,Descending Major Scales,"Mozart, La Clemenza di Tito, K. 621, Overture, mm. 12-29",Mozart,"La Clemenza di Tito, K. 621, Overture",mm. 12-29,,,,K. 621,,,,/musictheoryexamples/examples//ScA2.mp3,/musictheoryexamples/examples//ScA2.pdf
Scales,Major scales,Descending Major Scales,"Saint-Saëns, Violin Concerto no. 2 in C Major, op. 58, mvt. 1, mm. 12-19",Saint-Saëns,"Violin Concerto no. 2 in C Major, op. 58, mvt. 1",mm. 12-19,,,,op. 58,mvt. 1,,,/musictheoryexamples/examples//ScB2.mp3,/musictheoryexamples/examples//ScB2.pdf
Scales,Major scales,Descending Major Scales,"Schumann, Toccata, op. 7, mm. 201-214",Schumann,"Toccata, op. 7",mm. 201-214,,,,op. 7,,,,/musictheoryexamples/examples//ScC2.mp3,/musictheoryexamples/examples//ScC2.pdf
Scales,Major scales,Descending Major Scales,"J. S. Bach, Well-Tempered Clavier, Book I, Prelude in C Major, BWV 846, mm. 1-19",J. S. Bach,"Well-Tempered Clavier, Book I, Prelude in C Major, BWV 846",mm. 1-19,,,,BWV 846,,,,/musictheoryexamples/examples//ScD2.mp3,/musictheoryexamples/examples//ScD2.pdf
Scales,Major scales,Descending Major Scales,"Mason-Handel, ""Joy to the World"", mm. 1-7",Mason-Handel,"""Joy to the World""",mm. 1-7,,,Joy to the World,,,,,/musictheoryexamples/examples//ScE2.mp3,/musictheoryexamples/examples//ScE2.pdf
